Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-12-06 14:51:51,false,"Saanich Running","4.44","297","00:23:20","--","--","--","183","199","5:16","3:05","45","45","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","01:00.05","6","0.0"
Running,2019-12-04 08:31:13,false,"Saanich Running","9.19","625","00:43:25","--","--","--","186","195","4:43","3:33","48","48","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-12-03 15:20:53,false,"Saanich Running","11.50","780","00:52:50","--","--","--","185","197","4:36","3:48","94","92","1.18","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-12-02 09:19:44,false,"Saanich Running","5.30","362","00:26:40","--","--","--","185","193","5:02","4:10","42","46","1.08","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-12-02 07:56:43,false,"Saanich Running","3.96","268","00:21:29","--","--","--","180","193","5:25","4:47","42","43","1.03","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-12-01 09:04:08,false,"Saanich Running","18.72","1,267","01:30:01","--","--","--","184","230","4:48","3:42","29","29","1.13","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-29 14:47:33,false,"Saanich Running","17.94","1,078","01:27:56","156","180","4.4","182","215","4:54","3:10","125","124","1.11","8.9","9.7","229","49.6% L / 50.4% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:24.90","18","0.0"
Running,2019-11-28 09:27:16,false,"Saanich Running","3.72","252","00:19:43","--","--","--","180","191","5:18","4:27","44","47","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-28 07:49:40,false,"Saanich Running","3.95","271","00:20:24","--","--","--","181","197","5:10","4:12","43","43","1.07","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-26 15:34:24,false,"Saanich Running","15.22","901","01:25:31","149","179","3.5","173","256","5:37","2:38","62","61","1.07","7.8","8.4","248","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.64","25","0.0"
